instant,heading,roll,pitch
48.448,2.093183,-0.12461,-0.004699
48.548,2.098517,-0.128707,0.002335
48.653,2.105242,-0.130267,-0.001696
48.748,2.110893,-0.132134,-0.01906
48.848,2.11594,-0.130299,-0.03649
48.948,2.119753,-0.128968,-0.055843
49.047,2.121741,-0.127644,-0.075444
49.148,2.123821,-0.119663,-0.09762
49.248,2.124033,-0.115937,-0.117691
49.347,2.122613,-0.113529,-0.129234
49.448,2.120005,-0.112808,-0.129735
49.549,2.117453,-0.112014,-0.110662
49.648,2.117201,-0.115569,-0.077723
49.746,2.119639,-0.114429,-0.03857
49.847,2.125743,-0.108962,-0.003839
49.947,2.133972,-0.100291,0.012634
50.047,2.142284,-0.09934,0.0173
50.146,2.151221,-0.095429,0.013198
50.247,2.157887,-0.100358,0.008197
50.346,2.162509,-0.102831,0.000208
50.447,2.166784,-0.102385,-0.009076
50.545,2.169096,-0.103426,-0.023243
50.647,2.169079,-0.112368,-0.038485
50.746,2.168124,-0.116973,-0.056857
50.849,2.163854,-0.130233,-0.071973
50.947,2.158708,-0.141781,-0.084991
51.046,2.151318,-0.156925,-0.100506
51.145,2.142072,-0.170493,-0.1135
51.245,2.130294,-0.18014,-0.123421
51.344,2.11919,-0.187216,-0.123314
51.444,2.111192,-0.181527,-0.109011
51.546,2.108635,-0.162963,-0.079704
51.645,2.112092,-0.137991,-0.052461
51.744,2.119175,-0.115572,-0.030967
51.844,2.129038,-0.098026,-0.015492
51.944,2.140723,-0.082012,-0.000163
52.045,2.152016,-0.072806,0.003906
52.147,2.160927,-0.071738,-0.005716
52.243,2.169213,-0.070455,-0.015218
52.343,2.17578,-0.074053,-0.027516
52.443,2.181314,-0.076341,-0.037324
52.544,2.183746,-0.089424,-0.054599
52.643,2.184552,-0.101192,-0.074973
52.743,2.182864,-0.117883,-0.088215
52.844,2.178982,-0.137274,-0.097298
52.952,2.173568,-0.165344,-0.088357
53.043,2.169366,-0.176232,-0.07252
53.143,2.166709,-0.185523,-0.059948
53.242,2.165153,-0.187061,-0.053112
53.342,2.166363,-0.192128,-0.037529
53.442,2.169301,-0.188944,-0.019108
53.543,2.174194,-0.185861,-0.004067
53.641,2.180782,-0.174416,0.003933
53.741,2.187281,-0.164918,0.002578
53.840,2.194726,-0.154301,-0.007216
53.942,2.20129,-0.144357,-0.021619
54.042,2.205356,-0.139467,-0.040671
54.141,2.207593,-0.133591,-0.06159
54.241,2.207494,-0.131212,-0.085103
54.341,2.205746,-0.129003,-0.097825
54.442,2.203012,-0.124377,-0.099296
54.541,2.199095,-0.118216,-0.094665
54.641,2.195939,-0.11798,-0.084732
54.741,2.191179,-0.118363,-0.077711
54.841,2.186678,-0.118201,-0.067828
54.940,2.182275,-0.113129,-0.056237
55.040,2.180493,-0.106064,-0.040011
55.140,2.181285,-0.097182,-0.021793
55.240,2.181241,-0.094257,-0.015522
55.340,2.180655,0.432977,-0.765661
55.440,2.1824,-0.074612,-0.01162
55.540,2.185417,-0.059971,-0.016182
55.640,2.188482,-0.047271,-0.027193
55.740,2.192159,-0.034842,-0.03767
55.839,2.195921,-0.023593,-0.045402
55.939,2.199708,-0.018705,-0.055543
56.039,2.200949,-0.02331,-0.06057
56.139,2.200008,-0.033246,-0.069033
56.239,2.197737,-0.046531,-0.071629
56.338,2.19332,-0.05869,-0.070714
56.439,2.188079,-0.074123,-0.066456
56.537,2.182305,-0.09034,-0.063187
56.637,2.178094,-0.102577,-0.056841
56.737,2.175242,-0.103872,-0.050244
56.838,2.175529,-0.100117,-0.043694
56.938,2.177079,-0.09422,-0.040809
57.036,2.177943,-0.096747,-0.049864
57.136,2.178905,-0.094707,-0.057388
57.237,2.180894,-0.091251,-0.063308
57.338,2.180917,-0.092198,-0.069018
57.437,2.180966,-0.097559,-0.074531
57.537,2.178533,-0.101033,-0.082
57.638,2.175462,-0.105684,-0.079199
57.736,2.170766,-0.11111,-0.078035
57.836,2.166443,-0.116552,-0.067003
57.936,2.162657,-0.120172,-0.05245
58.037,2.159372,-0.124104,-0.033706
58.135,2.157082,-0.128334,-0.012269
58.236,2.156644,-0.124734,0.002077
58.334,2.157698,-0.122482,0.016034
58.435,2.158275,-0.119237,0.018091
58.535,2.157719,-0.117013,0.008585
58.635,2.157202,-0.113472,-0.002285
58.736,2.155977,-0.115498,-0.015468
58.836,2.153533,-0.120884,-0.036152
58.936,2.149343,-0.131335,-0.053264
59.035,2.144582,-0.141628,-0.064107
59.134,2.140614,-0.149173,-0.063532
59.235,2.139577,-0.145591,-0.052758
59.335,2.141609,-0.141928,-0.042284
59.435,2.145426,-0.133701,-0.037785
59.533,2.148015,-0.128749,-0.042035
59.636,2.150507,-0.120699,-0.053647
